"N","500 MAIN STREET          ","                         ","                         ","COLORADO            ","TESTER1@GMAIL.COM                                 ","11/07/2017","11/07/2017","Y","80203     ","TESTER                                  ","               ","DENVER              ","TESTER1@GMAIL.COM                                 ",""
"N","C/O CHAUNTRY             ","                         ","                         ","ALABAMA             ","STEVE@CHAUNTRY.COM                                ","12/19/2017","12/19/2017","Y","12345     ","BROOKING                                ","               ","MAIDENHEAD          ","STEVE@CHAUNTRY.COM                                ",""
"N","NEW CENTURY HOUSE        ","CORDWALLIS STREET        ","                         ","COLORADO            ","DEANNA.MCSWEENEY@CHAUNTRY.COM                     ","04/08/2016","04/08/2016","N","80021     ","MCSWEENEY                               ","               ","DENVER              ","DEANNA.MCSWEENEY@CHAUNTRY.COM                     ","A"
"A","NEW CENTURY HOUSE        ","CORDWALLIS STREET        ","                         ","COLORADO            ","DEANNA.MCSWEENEY@CHAUNTRY.COM                     ","04/08/2016","12/20/2017","N","80021     ","MCSWEENEY                               ","               ","DENVER              ","DEANNA.MCSWEENEY@CHAUNTRY.COM                     ","A"
"N","MICASA                   ","                         ","                         ","KENTUCKY            ","RAUL.ALVAREZ@CHAUNTRY.COM                         ","12/21/2017","12/21/2017","N","12365     ","ALVAREZ                                 ","               ","READING             ","RAUL.ALVAREZ@CHAUNTRY.COM                         ",""
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","12/21/2017","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","D"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","12/21/2017","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","D"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","12/21/2017","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","D"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","12/21/2017","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","D"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","12/21/2017","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","D"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","12/22/2017","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","D"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","12/22/2017","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","E"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","12/22/2017","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","E"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","12/22/2017","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","E"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","12/22/2017","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","A"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","12/23/2017","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","A"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","12/23/2017","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","A"
"N","PLATTE STREET            ","","","USA                 ","MAILBOXJP6@GMAIL.COM                              ","01/04/2018","01/04/2018"," ","80203     ","PARKERTEST                              ","               ","DENVER              ","MAILBOXJP6@GMAIL.COM                              ","A"
"A","PLATTE STREET            ","","","USA                 ","MAILBOXJP6@GMAIL.COM                              ","01/04/2018","01/04/2018"," ","80203     ","PARKERTEST                              ","               ","DENVER              ","MAILBOXJP6@GMAIL.COM                              ","A"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/05/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","A"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/06/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","A"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","01/08/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","E"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/09/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","A"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","01/11/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","E"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","01/11/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","E"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/11/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","B"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/15/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","B"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/17/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","B"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/18/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","B"
"A","C/O CHAUNTRY             ","                         ","                         ","ALABAMA             ","STEVE@CHAUNTRY.COM                                ","01/22/2018","01/22/2018","Y","12345     ","BROOKING                                ","               ","MAIDENHEAD          ","STEVE@CHAUNTRY.COM                                ","A"
"A","C/O CHAUNTRY             ","                         ","                         ","ALABAMA             ","STEVE@CHAUNTRY.COM                                ","01/22/2018","01/22/2018","Y","12345     ","BROOKING                                ","               ","MAIDENHEAD          ","STEVE@CHAUNTRY.COM                                ","A"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/22/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","B"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/23/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","C"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/24/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","C"
"N","50 MAIN STREET           ","                         ","                         ","COLORADO            ","JACK@TEST.COM                                     ","01/24/2018","01/24/2018","Y","80203     ","TEST                                    ","               ","DENVER              ","JACK@TEST.COM                                     ",""
"A","50 MAIN STREET           ","                         ","                         ","COLORADO            ","JACK@TEST.COM                                     ","01/24/2018","01/24/2018","Y","80203     ","TEST                                    ","               ","DENVER              ","JACK@TEST.COM                                     ","A"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","01/25/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","E"
"A","CORDWALLIS STREET        ","                         ","                         ","WASHINGTON          ","RAY@CHAUNTRY.COM                                  ","12/08/2017","01/25/2018","N","12345     ","VAUGHAN                                 ","               ","MAIDENHEAD          ","RAY@CHAUNTRY.COM                                  ","A"
"A","CORDWALLIS STREET        ","                         ","                         ","WASHINGTON          ","RAY@CHAUNTRY.COM                                  ","12/08/2017","01/25/2018","N","12345     ","VAUGHAN                                 ","               ","MAIDENHEAD          ","RAY@CHAUNTRY.COM                                  ","B"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","01/25/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","E"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","01/25/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","E"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","01/25/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","E"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","01/25/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","F"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/30/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","C"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/30/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","C"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/30/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","C"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","01/30/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","C"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/01/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","D"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/02/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","D"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/02/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","F"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/02/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","F"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/02/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","F"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/02/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","F"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/02/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","F"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/02/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","F"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/02/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","F"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/02/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","G"
"N","500 WILLIAMS STREET      ","                         ","                         ","COLORADO            ","JACK@BETATEST.COM                                 ","02/04/2018","02/04/2018","Y","80206     ","PANTALENA                               ","               ","DENVER              ","JACK@BETATEST.COM                                 ",""
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/04/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","D"
"A","500 WILLIAMS STREET      ","                         ","                         ","COLORADO            ","JACK@BETATEST.COM                                 ","02/04/2018","02/04/2018","Y","80206     ","PANTALENA                               ","               ","DENVER              ","JACK@BETATEST.COM                                 ","A"
"A","500 WILLIAMS STREET      ","                         ","                         ","COLORADO            ","JACK@BETATEST.COM                                 ","02/04/2018","02/04/2018","Y","80206     ","PANTALENA                               ","               ","DENVER              ","JACK@BETATEST.COM                                 ","A"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/05/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","G"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/05/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","G"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/05/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","G"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/05/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","G"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/05/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","G"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/05/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","H"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/06/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","D"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/06/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","D"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/06/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","D"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/06/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","E"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/06/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","E"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/06/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","E"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/06/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","E"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/07/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","E"
"N","NEW CENTURY HOUSE        ","CORDWALLIS STREET        ","                         ","COLORADO            ","TESTING@CHAUNTRY.COM                              ","02/07/2018","02/07/2018","Y","12345     ","O'ALFA                                  ","               ","MAIDENHEAD          ","TESTING@CHAUNTRY.COM                              ",""
"A","NEW CENTURY HOUSE        ","CORDWALLIS STREET        ","                         ","COLORADO            ","TESTING@CHAUNTRY.COM                              ","02/07/2018","02/07/2018","Y","12345     ","O'ALFA                                  ","               ","MAIDENHEAD          ","TESTING@CHAUNTRY.COM                              ",""
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/07/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","H"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/07/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","F"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/07/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","H"
"A","MICASA                   ","                         ","                         ","KENTUCKY            ","RAUL.ALVAREZ@CHAUNTRY.COM                         ","02/07/2018","02/07/2018","N","12365     ","ALVAREZ                                 ","               ","READING             ","RAUL.ALVAREZ@CHAUNTRY.COM                         ","A"
"A","MICASA                   ","                         ","                         ","KENTUCKY            ","RAUL.ALVAREZ@CHAUNTRY.COM                         ","02/07/2018","02/07/2018","N","12365     ","ALVAREZ                                 ","               ","READING             ","RAUL.ALVAREZ@CHAUNTRY.COM                         ","A"
"A","MICASA                   ","                         ","                         ","KENTUCKY            ","RAUL.ALVAREZ@CHAUNTRY.COM                         ","02/07/2018","02/07/2018","N","12365     ","ALVAREZ                                 ","               ","READING             ","RAUL.ALVAREZ@CHAUNTRY.COM                         ","A"
"A","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","02/07/2018","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","H"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/07/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","F"
"A","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","12/22/2017","02/07/2018","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ","F"
"N","CCC                      ","                         ","                         ","DELAWARE            ","NAVEED999@CHAUNTRY.COM                            ","02/08/2018","02/08/2018","Y","12345     ","SAGHIR                                  ","               ","MMM                 ","NAVEED999@CHAUNTRY.COM                            ",""
"N","","","","","","","","","","","","","A3@B.COM",""
"N","","","","","","","","","","","","","A@A.COM",""
"N","","","","","","","","","","","","","A@B.COM",""
"N","","","","","","","","","","","","","A@C.COM",""
"N","","","","","","","","","","","","","A@M.COM",""
"N","","","","","","","","","","","","","AA@AA.COM",""
"N","","","","","","","","","","","","","ABC@DEF.COM",""
"N","","","","","","","","","","","","","ABSCRIC@GMAIL.COM",""
"N","","","","","","","","","","","","","AK@AK.COM",""
"N","","","","","","","","","","","","","AL@AL.COM",""
"N","","","","","","","","","","","","","ALAN.WEEKS@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","AM@AM.COM",""
"N","","","","","","","","","","","","","AMANDA@FOSTEREDIDEAS.COM",""
"N","","","","","","","","","","","","","AN@AN.COM",""
"N","","","","","","","","","","","","","ANTONIO.PEIS@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","ANYBODY@GMAIL.COMZ",""
"N","","","","","","","","","","","","","AO@AO.COM",""
"N","","","","","","","","","","","","","AORDARDBILLDART@GMAIL.COM",""
"N","","","","","","","","","","","","","AP@AP.COM",""
"N","","","","","","","","","","","","","ATESTER@TEST.COM",""
"N","","","","","","","","","","","","","ATOLVER@WOLFGANG.COM",""
"N","","","","","","","","","","","","","AWOLFE@AMADEUSCONSULTING.COM",""
"N","","","","","","","","","","","","","AWOLFE@WOLFGANG.COM",""
"N","","","","","","","","","","","","","B52GUNNER8691@GMAIL.COM",""
"N","","","","","","","","","","","","","BARRYANDKIMBROWN@GMAIL.COM",""
"N","","","","","","","","","","","","","BB@BB.COM",""
"N","","","","","","","","","","","","","BETA@FORUMRE.COM",""
"N","","","","","","","","","","","","","BRANDONSCOTTWYSZYNSKI@GMAIL.COM",""
"N","","","","","","","","","","","","","BRANDONW@GMAIL.COM",""
"N","","","","","","","","","","","","","CAROLINE10@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","CAROLINE11@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","CAROLINE12@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","CAROLINE13@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","CAROLINE14@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","CAROLINE2@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","CAROLINE3@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","CAROLINE4@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","CAROLINE5@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","CAROLINE9@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","CAROLINE@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","CC@CC.COM",""
"N","","","","","","","","","","","","","CHUCKIE2@COMCAST.NET",""
"N","","","","","","","","","","","","","CLINT.S@PROTECTIONTECH.COM",""
"N","","","","","","","","","","","","","COREY.JACKSON@UNITED.COM",""
"N","","","","","","","","","","","","","CRAIG.HANSON@MAC.COM",""
"N","","","","","","","","","","","","","DAIVUTEAPHI@GMAIL.COM",""
"N","","","","","","","","","","","","","DCSECA@GMAIL.COM",""
"N","","","","","","","","","","","","","DD@DD.COM",""
"N","","","","","","","","","","","","","DEAN@CHAUNTRY.COM",""
"N","","","","","","","","","","","","","DEANNA.MCSWEENEY@CHAUNTRY.COM",""
